cnes;municipality_code;uf;health_region_code;health_region_id;source_file
2003139;120025;AC;;;STAC2101.dbf
2003147;120025;AC;0002;AC-0002;STAC2101.dbf
6634230;120025;AC;0002;AC-0002;STAC2101.dbf
7236808;120025;AC;;;STAC2101.dbf
7238762;120025;AC;;;STAC2101.dbf
7428596;120025;AC;;;STAC2101.dbf
7503105;120025;AC;;;STAC2101.dbf
0478997;120030;AC;0002;AC-0002;STAC2101.dbf
2000032;120030;AC;0002;AC-0002;STAC2101.dbf
2000040;120030;AC;0002;AC-0002;STAC2101.dbf
2000059;120030;AC;0002;AC-0002;STAC2101.dbf
2000067;120030;AC;0002;AC-0002;STAC2101.dbf
2000636;120030;AC;0003;AC-0003;STAC2101.dbf
2002825;120030;AC;;;STAC2101.dbf
3544915;120030;AC;;;STAC2101.dbf
5055628;120030;AC;;;STAC2101.dbf
6748228;120030;AC;;;STAC2101.dbf
6748759;120030;AC;;;STAC2101.dbf
6934013;120030;AC;;;STAC2101.dbf
7014147;120030;AC;;;STAC2101.dbf
7110561;120030;AC;;;STAC2101.dbf
7678339;120030;AC;;;STAC2101.dbf
7719825;120030;AC;;;STAC2101.dbf
7797494;120030;AC;;;STAC2101.dbf
0153230;120032;AC;;;STAC2101.dbf
0456594;120032;AC;;;STAC2101.dbf
5353947;120032;AC;0001;AC-0001;STAC2101.dbf
5354072;120032;AC;0001;AC-0001;STAC2101.dbf
6430201;120032;AC;;;STAC2101.dbf
6525946;120032;AC;;;STAC2101.dbf
7123043;120032;AC;;;STAC2101.dbf
9276505;120032;AC;0001;AC-0001;STAC2101.dbf
9341838;120032;AC;;;STAC2101.dbf
9516530;120032;AC;;;STAC2101.dbf
0468363;120033;AC;;;STAC2101.dbf
2000083;120033;AC;0003;AC-0003;STAC2101.dbf
2000091;120033;AC;0002;AC-0002;STAC2101.dbf
2000105;120033;AC;0002;AC-0002;STAC2101.dbf
2002205;120033;AC;0002;AC-0002;STAC2101.dbf
2002221;120033;AC;;;STAC2101.dbf
2002272;120033;AC;;;STAC2101.dbf
6458459;120033;AC;;;STAC2101.dbf
6458467;120033;AC;;;STAC2101.dbf
6568629;120033;AC;0004;AC-0004;STAC2101.dbf
6955525;120033;AC;;;STAC2101.dbf
7008589;120033;AC;;;STAC2101.dbf
7168748;120033;AC;0002;AC-0002;STAC2101.dbf
7257937;120033;AC;;;STAC2101.dbf
7290365;120033;AC;;;STAC2101.dbf
7297203;120033;AC;;;STAC2101.dbf
7345224;120033;AC;;;STAC2101.dbf
7487037;120033;AC;;;STAC2101.dbf
7936028;120033;AC;;;STAC2101.dbf
9166475;120033;AC;;;STAC2101.dbf
9542566;120033;AC;;;STAC2101.dbf
0484911;120034;AC;;;STAC2101.dbf
2000954;120034;AC;;;STAC2101.dbf
2000962;120034;AC;;;STAC2101.dbf
2000970;120034;AC;0001;AC-0001;STAC2101.dbf
2002140;120034;AC;;;STAC2101.dbf
6585205;120034;AC;;;STAC2101.dbf
7560877;120034;AC;;;STAC2101.dbf
9648968;120034;AC;;;STAC2101.dbf
9698000;120034;AC;0001;AC-0001;STAC2101.dbf
9846433;120034;AC;;;STAC2101.dbf
0379042;120035;AC;;;STAC2101.dbf
0459445;120035;AC;;;STAC2101.dbf
2001594;120035;AC;0003;AC-0003;STAC2101.dbf
2002132;120035;AC;0003;AC-0003;STAC2101.dbf
3590992;120035;AC;0003;AC-0003;STAC2101.dbf
3591018;120035;AC;0003;AC-0003;STAC2101.dbf
6490689;120035;AC;0003;AC-0003;STAC2101.dbf
6504833;120035;AC;0003;AC-0003;STAC2101.dbf
6828450;120035;AC;0003;AC-0003;STAC2101.dbf
7625855;120035;AC;0003;AC-0003;STAC2101.dbf
9014896;120035;AC;0003;AC-0003;STAC2101.dbf
9076867;120035;AC;;;STAC2101.dbf
9269053;120035;AC;;;STAC2101.dbf
0078719;120038;AC;;;STAC2101.dbf
0484598;120038;AC;;;STAC2101.dbf
2000822;120038;AC;0001;AC-0001;STAC2101.dbf
2000989;120038;AC;0001;AC-0001;STAC2101.dbf
2000997;120038;AC;0001;AC-0001;STAC2101.dbf
2002922;120038;AC;;;STAC2101.dbf
2002930;120038;AC;;;STAC2101.dbf
3519953;120038;AC;;;STAC2101.dbf
3595943;120038;AC;;;STAC2101.dbf
5360064;120038;AC;;;STAC2101.dbf
5360080;120038;AC;;;STAC2101.dbf
5493455;120038;AC;;;STAC2101.dbf
6411312;120038;AC;;;STAC2101.dbf
6508022;120038;AC;;;STAC2101.dbf
7070209;120038;AC;;;STAC2101.dbf
7241194;120038;AC;;;STAC2101.dbf
9791280;120038;AC;0001;AC-0001;STAC2101.dbf
