location_id;node_id;municipality_code
2083086;facility:2083086;352530
2083094;facility:2083094;350400
2083116;facility:2083116;352900
2083140;facility:2083140;354680
2083159;facility:2083159;354390
2083175;facility:2083175;353780
2083213;facility:2083213;355440
2083264;facility:2083264;351760
2083272;facility:2083272;350635
2083493;facility:2083493;354020
2083604;facility:2083604;350450
2083876;facility:2083876;351630
2083973;facility:2083973;351770
2083981;facility:2083981;355240
2084007;facility:2084007;350710
2084023;facility:2084023;353240
2084058;facility:2084058;354640
2084074;facility:2084074;355260
2084139;facility:2084139;355030
2084163;facility:2084163;351380
2084171;facility:2084171;355170
2084228;facility:2084228;354910
2084236;facility:2084236;353060
2084244;facility:2084244;352050
2084252;facility:2084252;350950
2084317;facility:2084317;350190
2084384;facility:2084384;351518
2084414;facility:2084414;354340
2084422;facility:2084422;355040
2084430;facility:2084430;351220
2084473;facility:2084473;355030
2085143;facility:2085143;352260
2085194;facility:2085194;352440
2085569;facility:2085569;354990
2085976;facility:2085976;350900
2086050;facility:2086050;352900
2086271;facility:2086271;352220
2086336;facility:2086336;352850
2086719;facility:2086719;352550
2087057;facility:2087057;353870
2087103;facility:2087103;352690
2087111;facility:2087111;352720
2087219;facility:2087219;350960
2087618;facility:2087618;355700
2087642;facility:2087642;350490
2087715;facility:2087715;351907
2087804;facility:2087804;352210
2088193;facility:2088193;353080
2088487;facility:2088487;353350
2088495;facility:2088495;355030
2088517;facility:2088517;355030
2088525;facility:2088525;352970
2088576;facility:2088576;355030
2089327;facility:2089327;351110
2089335;facility:2089335;351110
2089548;facility:2089548;353950
2089572;facility:2089572;355030
2089696;facility:2089696;355030
2089785;facility:2089785;355030
2090171;facility:2090171;350170
2090236;facility:2090236;350550
2090309;facility:2090309;350750
2090333;facility:2090333;351140
2090376;facility:2090376;351210
2090961;facility:2090961;352930
2091267;facility:2091267;354750
2091275;facility:2091275;354750
2091305;facility:2091305;354980
2091313;facility:2091313;355030
2091356;facility:2091356;355030
2091399;facility:2091399;355030
2091542;facility:2091542;355030
2091550;facility:2091550;355030
2091585;facility:2091585;355030
2091658;facility:2091658;355030
2091755;facility:2091755;355030
2092093;facility:2092093;355680
2092298;facility:2092298;352390
2092395;facility:2092395;351930
2092611;facility:2092611;350550
2092638;facility:2092638;351540
2092980;facility:2092980;350580
2093227;facility:2093227;352180
2093324;facility:2093324;351550
2093332;facility:2093332;354660
2093405;facility:2093405;353260
2093502;facility:2093502;353260
2095912;facility:2095912;351200
2096196;facility:2096196;350920
2096412;facility:2096412;352440
2096463;facility:2096463;353070
2096498;facility:2096498;353070
2096617;facility:2096617;354080
2097648;facility:2097648;354980
2097877;facility:2097877;355620
2688433;facility:2688433;350760
2688514;facility:2688514;355030
2688522;facility:2688522;355030
2688573;facility:2688573;355030
2688638;facility:2688638;355030
2688689;facility:2688689;355030
2698374;facility:2698374;354120
2698463;facility:2698463;354850
2698471;facility:2698471;354850
2699915;facility:2699915;355670
2701561;facility:2701561;352590
2702193;facility:2702193;355540
2704900;facility:2704900;350760
2705222;facility:2705222;353050
2705249;facility:2705249;354300
2705982;facility:2705982;351620
2708566;facility:2708566;355220
2708779;facility:2708779;355220
2716097;facility:2716097;354100
2716275;facility:2716275;353030
2716291;facility:2716291;353475
2716593;facility:2716593;350100
2716801;facility:2716801;352590
2745356;facility:2745356;351670
2745402;facility:2745402;351600
2745798;facility:2745798;353430
2745801;facility:2745801;353190
2746220;facility:2746220;351640
2746298;facility:2746298;354760
2747685;facility:2747685;353290
2747693;facility:2747693;354290
2747871;facility:2747871;352040
2748029;facility:2748029;354990
2748223;facility:2748223;350750
2748436;facility:2748436;351170
2748568;facility:2748568;351040
2749033;facility:2749033;351080
2749149;facility:2749149;355330
2749319;facility:2749319;355410
2750511;facility:2750511;354140
2750538;facility:2750538;351990
2750546;facility:2750546;354425
2750988;facility:2750988;351440
2751003;facility:2751003;352600
2751011;facility:2751011;352920
2751038;facility:2751038;354130
2751046;facility:2751046;354770
2751569;facility:2751569;351150
2751623;facility:2751623;351518
2751674;facility:2751674;352280
2751704;facility:2751704;352410
