distance_min_km,edge_type,source_health_region_id,target_health_region_id,flow,edges,source_region_total,share_of_source_region_flow,weighted_mean_distance_km
25.0,residence,MA-0014,MA-0015,380.0,20,5126.0,0.074132,56.604333
25.0,residence,MA-0003,MA-0005,378.0,12,7589.0,0.049809,59.452257
25.0,residence,PR-0014,PR-0002,378.0,37,8566.0,0.044128,442.942724
25.0,residence,SP-0209,SP-0005,378.0,15,21362.0,0.017695,91.330345
25.0,residence,PR-0022,PR-0017,376.0,29,4048.0,0.092885,125.397554
25.0,residence,SP-0202,SP-0005,376.0,16,6869.0,0.054739,233.236772
25.0,residence,RS-0019,RS-0017,373.0,13,4429.0,0.084218,111.293216
25.0,residence,MA-0017,MA-0005,372.0,16,6514.0,0.057108,65.054732
25.0,residence,PE-0006,PE-0005,372.0,14,12246.0,0.030377,103.070571
25.0,residence,RS-0043,RS-0001,372.0,9,621.0,0.599034,202.768532
25.0,residence,SC-0017,SC-0011,370.0,5,1452.0,0.254821,80.31285
25.0,residence,PI-0015,PI-0004,369.0,26,3040.0,0.121382,381.537419
25.0,residence,SC-0028,SC-0015,369.0,3,643.0,0.573872,75.656765
25.0,residence,PB-0008,RN-0006,366.0,13,1888.0,0.193856,39.977073
25.0,residence,GO-0009,GO-0003,365.0,6,6239.0,0.058503,71.770695
25.0,residence,PR-0011,PR-0002,364.0,39,9755.0,0.037314,356.952179
25.0,residence,RJ-3302,RJ-0019,364.0,24,523.0,0.695985,120.038626
25.0,residence,BA-0002,BA-0018,361.0,12,11656.0,0.030971,112.674659
25.0,residence,SP-0214,SP-0101,361.0,34,7065.0,0.051097,171.211512
25.0,residence,MA-2105,MA-0005,359.0,2,489.0,0.734151,31.487808
25.0,residence,SC-0011,SC-0025,359.0,7,2373.0,0.151285,55.449969
25.0,residence,BA-0009,BA-0001,357.0,29,8080.0,0.044183,505.22312
25.0,residence,SP-0210,SP-0206,356.0,13,7670.0,0.046415,117.020583
25.0,residence,GO-0016,GO-0001,355.0,31,998.0,0.355711,473.043878
25.0,residence,SP-0210,SP-0101,354.0,28,7670.0,0.046154,156.199812
25.0,residence,CE-0001,CE-0008,353.0,11,15882.0,0.022226,147.873634
25.0,residence,PA-0005,PA-0004,353.0,28,24496.0,0.014411,131.734272
25.0,residence,PB-0010,PB-0006,353.0,16,1768.0,0.199661,80.178089
25.0,residence,BA-0001,BA-0004,351.0,13,17824.0,0.019693,71.320088
25.0,residence,AL-0001,PE-0001,348.0,13,11392.0,0.030548,187.454117
25.0,residence,ES-0001,ES-0004,347.0,10,57029.0,0.006085,87.620713
25.0,residence,PI-0011,PI-0008,347.0,7,5049.0,0.068726,96.882258
25.0,residence,SE-0008,SE-0001,345.0,8,13048.0,0.026441,44.749376
25.0,residence,SC-0012,SC-0014,344.0,12,2348.0,0.146508,40.781626
25.0,residence,BA-0016,BA-0021,342.0,13,7777.0,0.043976,110.329788
25.0,residence,PR-4109,PR-0010,342.0,8,740.0,0.462162,115.069981
25.0,residence,SC-0017,SC-0018,342.0,21,1452.0,0.235537,78.0294
25.0,residence,MG-0006,MG-0030,340.0,7,22490.0,0.015118,65.714261
25.0,residence,GO-0001,DF-0006,339.0,21,20996.0,0.016146,187.362763
25.0,residence,BA-0023,BA-0001,338.0,29,2234.0,0.151298,441.820771
25.0,residence,SC-0027,SC-0015,338.0,7,338.0,1.0,38.383271
25.0,residence,BA-0010,BA-0015,337.0,17,5187.0,0.06497,199.209809
25.0,residence,BA-0016,BA-0018,334.0,18,7777.0,0.042947,121.680783
25.0,residence,PR-0010,PR-0002,334.0,21,11147.0,0.029963,417.0012
25.0,residence,SP-0213,SP-0218,333.0,17,15305.0,0.021758,37.272822
25.0,residence,PB-0008,PB-0001,332.0,23,1888.0,0.175847,311.1689
25.0,residence,PE-0007,PE-0008,332.0,17,4091.0,0.081154,210.5857
25.0,residence,BA-0004,BA-0031,326.0,12,6482.0,0.050293,39.164363
25.0,residence,DF-0006,GO-0018,326.0,4,75042.0,0.004344,42.332442
25.0,residence,SP-0214,SP-0212,326.0,10,7065.0,0.046143,90.064288
25.0,residence,PB-0007,PB-0001,325.0,39,2742.0,0.118527,361.178444
25.0,residence,MG-0012,SP-0005,324.0,9,7996.0,0.04052,200.85371
25.0,residence,BA-0019,BA-0018,323.0,12,11655.0,0.027713,181.585805
25.0,residence,SP-0221,SP-3517,321.0,4,2107.0,0.152349,63.126686
25.0,residence,BA-0013,BA-0006,320.0,16,13959.0,0.022924,165.624776
25.0,residence,MA-0010,MA-0001,320.0,26,10972.0,0.029165,370.899743
25.0,residence,SP-0220,SP-0207,319.0,11,1565.0,0.203834,96.090692
25.0,residence,RS-0001,RS-0018,318.0,21,14353.0,0.022156,100.357971
25.0,residence,RS-0004,RS-0001,317.0,27,8292.0,0.03823,264.042366
25.0,residence,SP-0221,SP-0101,317.0,15,2107.0,0.150451,94.60936
25.0,residence,AL-0009,AL-0001,316.0,20,1281.0,0.246682,172.366333
25.0,residence,BA-0021,BA-0027,316.0,18,8804.0,0.035893,72.659859
25.0,residence,MT-0012,MT-0001,315.0,24,6729.0,0.046812,394.195259
25.0,residence,MT-5114,MT-0014,315.0,4,4043.0,0.077912,99.439604
25.0,residence,PE-0001,PE-0002,314.0,17,30866.0,0.010173,56.436327
25.0,residence,SP-0101,SP-0105,314.0,5,49979.0,0.006283,28.961849
25.0,residence,CE-0002,CE-2301,313.0,7,16468.0,0.019007,55.666311
25.0,residence,MA-0009,MA-0006,313.0,17,13358.0,0.023432,117.92283
25.0,residence,SP-0216,SP-0207,310.0,24,30394.0,0.010199,92.85436
25.0,residence,TO-0001,TO-0002,310.0,17,17379.0,0.017838,140.072463
25.0,residence,BA-0010,SE-0002,309.0,4,5187.0,0.059572,81.849255
25.0,residence,MG-0005,MG-0011,307.0,7,7442.0,0.041252,34.093427
25.0,residence,PR-0012,PR-0015,307.0,30,9454.0,0.032473,161.3566
25.0,residence,PA-0009,PA-0001,306.0,19,48286.0,0.006337,794.351953
25.0,residence,SP-0209,SP-0101,306.0,27,21362.0,0.014325,415.196913
25.0,residence,PI-0002,PI-0005,304.0,7,6854.0,0.044354,52.626556
25.0,residence,SP-0206,SP-0101,304.0,25,29477.0,0.010313,319.626808
25.0,residence,PB-0003,PE-0001,302.0,16,10705.0,0.028211,155.862184
25.0,residence,MG-0006,MG-0029,300.0,5,22490.0,0.013339,55.188567
25.0,residence,MG-0026,SP-0005,299.0,8,3828.0,0.078109,209.564849
25.0,residence,SP-0214,SP-0206,299.0,11,7065.0,0.042321,169.405054
25.0,residence,MT-0006,MT-0001,298.0,26,5353.0,0.05567,753.172039
25.0,residence,BA-0011,BA-0003,297.0,19,6250.0,0.04752,149.414443
25.0,residence,GO-0001,SP-0005,297.0,7,20996.0,0.014146,409.937153
25.0,residence,MA-0015,MA-0014,296.0,10,3570.0,0.082913,75.247293
25.0,residence,SC-0013,SC-0004,295.0,1,1433.0,0.205862,28.009987
25.0,residence,BA-0029,BA-0002,294.0,15,4567.0,0.064375,108.32792
25.0,residence,AM-0010,AM-0001,293.0,17,2538.0,0.115445,472.860798
25.0,residence,BA-0002,BA-0003,293.0,14,11656.0,0.025137,77.645107
25.0,residence,AM-0001,PR-0002,292.0,5,126150.0,0.002315,2788.146583
25.0,residence,AM-0004,AM-0001,292.0,29,3843.0,0.075982,755.340136
25.0,residence,BA-0003,SE-0001,291.0,6,12738.0,0.022845,58.018979
25.0,residence,SP-0205,SP-0213,291.0,11,5616.0,0.051816,85.37356
25.0,residence,PA-0013,PA-0006,290.0,12,6188.0,0.046865,152.720022
25.0,residence,SC-0010,SC-0018,290.0,19,7647.0,0.037923,415.601693
25.0,residence,SC-0016,SC-0018,290.0,15,3620.0,0.08011,76.140947
25.0,residence,MT-0014,MT-0015,289.0,2,10021.0,0.028839,140.594702
25.0,residence,AL-0009,AL-0007,287.0,12,1281.0,0.224044,91.787787
25.0,residence,BA-0021,BA-0018,286.0,20,8804.0,0.032485,173.245653
25.0,residence,ES-3203,ES-0001,285.0,10,1607.0,0.177349,189.781375
25.0,residence,MT-0004,MT-0001,284.0,22,6255.0,0.045404,646.368343
25.0,residence,PR-4109,PR-0002,284.0,8,740.0,0.383784,521.713448
25.0,residence,GO-0006,SP-0005,283.0,9,6109.0,0.046325,280.347113
25.0,residence,SC-0002,SC-0018,283.0,17,2567.0,0.110245,245.154722
25.0,residence,RN-0003,RN-0006,282.0,19,9497.0,0.029694,248.724019
25.0,residence,SC-0010,SC-0005,282.0,25,7647.0,0.036877,69.127743
25.0,residence,AC-0003,AC-0001,281.0,6,3395.0,0.082769,451.803167
25.0,residence,PB-0015,PB-0003,280.0,8,310.0,0.903226,47.969437
25.0,residence,MT-0008,MT-0007,279.0,8,6192.0,0.045058,124.545034
25.0,residence,BA-0014,BA-0001,278.0,30,4253.0,0.065366,305.25672
25.0,residence,BA-0024,BA-0001,277.0,31,3210.0,0.086293,458.612644
25.0,residence,PR-0012,PR-0002,277.0,25,9454.0,0.0293,461.999977
25.0,residence,RS-0009,RS-0017,277.0,13,3428.0,0.080805,68.825427
25.0,residence,SP-3517,SP-0101,277.0,12,1332.0,0.207958,128.375214
25.0,residence,AL-0001,AL-0003,275.0,6,11392.0,0.02414,53.018978
25.0,residence,MG-0010,SP-0207,275.0,21,3229.0,0.085166,90.49198
25.0,residence,BA-0027,BA-0018,274.0,13,4791.0,0.057191,127.773087
25.0,residence,RJ-0001,RJ-0033,273.0,4,1022.0,0.267123,81.244023
25.0,residence,SC-0011,SC-0022,273.0,7,2373.0,0.115044,111.361365
25.0,residence,MA-0004,MA-0008,272.0,2,10482.0,0.025949,91.543839
25.0,residence,MA-0013,PI-0004,272.0,18,8893.0,0.030586,147.201434
25.0,residence,SP-0213,SP-0005,269.0,7,15305.0,0.017576,87.369233
25.0,residence,BA-0003,SE-0008,268.0,14,12738.0,0.021039,128.125177
25.0,residence,SC-0007,SC-0015,267.0,17,3035.0,0.087974,57.29206
25.0,residence,SC-0014,SC-0004,267.0,2,5048.0,0.052892,26.346813
