distance_min_km,source_node_id,source_name,source_municipality_code,source_health_region_id,total_flow,target_facilities,top_target_node_id,top_target_name,top_target_flow,top_target_share,cross_health_region_flow,cross_health_region_share,cross_uf_flow,cross_uf_share,weighted_mean_distance_km,max_edge_distance_km
25.0,municipality:412795,Tupãssi - PR,412795,PR-0020,351.0,10,facility:4056752,HOESP,150.0,0.42735,152.0,0.433048,0.0,0.0,30.088481,53.261374
25.0,municipality:171850,Recursolândia - TO,171850,TO-0002,164.0,5,facility:2468271,HOSPITAL REGIONAL DE PEDRO AFONSO LEONCIO DE SOUSA MIRANDA,77.0,0.469512,71.0,0.432927,0.0,0.0,154.715014,212.145087
25.0,municipality:280340,Japoatã - SE,280340,SE-0005,386.0,5,facility:3559629,HOSPITAL REGIONAL SAO VICENTE DE PAULA,219.0,0.567358,167.0,0.432642,0.0,0.0,41.286024,62.573973
25.0,municipality:291250,Ibipitanga - BA,291250,BA-0023,326.0,17,facility:4029526,HOSPITAL JOSE AMERICO REZENDE,136.0,0.417178,141.0,0.432515,0.0,0.0,166.350795,423.835259
25.0,municipality:291560,Itamaraju - BA,291560,BA-0009,694.0,21,facility:2301318,HOSPITAL MUNICIPAL DE TEIXEIRA DE FREITAS,308.0,0.443804,300.0,0.432277,39.0,0.056196,158.676653,535.637101
25.0,municipality:431570,Rio Pardo - RS,431570,RS-0013,338.0,15,facility:2255936,HOSPITAL ANA NERY,147.0,0.434911,146.0,0.431953,7.0,0.02071,93.854075,1716.190549
25.0,municipality:355200,Silveiras - SP,355200,SP-0217,139.0,5,facility:9491252,DR RUBENS SAVASTANO HOSPITAL REGIONAL DE SAO JOSE DOS CAMPOS,36.0,0.258993,60.0,0.431655,0.0,0.0,83.852072,122.811663
25.0,municipality:410260,Barracão - PR,410260,PR-0008,570.0,7,facility:2737434,CEONC,215.0,0.377193,246.0,0.431579,0.0,0.0,93.020921,408.71788
25.0,municipality:220527,Jatobá do Piauí - PI,220527,PI-0005,302.0,10,facility:2777754,HOSPITAL REGIONAL DE CAMPO MAIOR,126.0,0.417219,130.0,0.430464,0.0,0.0,59.833654,101.826644
25.0,municipality:310540,Barão de Cocais - MG,310540,MG-0009,758.0,20,facility:2215586,HOSPITAL NOSSA SENHORA DAS DORES,282.0,0.372032,326.0,0.430079,0.0,0.0,44.126194,109.42081
