node_id;node_type;name;municipality_code;latitude;longitude;capacity_beds;habilitation_level;is_public_hospital;analysis_scope;is_sus_linked;has_hospital_care;has_hospital_beds;is_public_admin;is_public_hospital_ref;coordinate_source;name_source;admissions;deaths;regulated_transfer_exits;median_stay_days;icu_marker_count;total_value;dominant_icd_chapter;dominant_sex;dominant_race_color;mean_age;mean_stay_days;death_rate;regulated_transfer_exit_rate;icu_marker_rate;mean_value_per_admission
facility:0003808;facility;CNES 0003808 (Salvador - BA);292740;-12.873498787784706;-38.51472863408121;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;;;;;;;;;;;;;;;
facility:0003816;facility;HOSPITAL UNIVERSITARIO PROFESSOR EDGARD SANTOS;292740;-12.9931237862042;-38.52022022008896;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;7841.0;233.0;56.0;5.0;7841.0;16790842.03;K;3;99;44.206;8.456;0.029716;0.007142;1.0;2141.42
facility:0003832;facility;HOSPITAL SANTA IZABEL;292740;-12.97298955;-38.50252668;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;8291.0;250.0;5.0;1.0;8291.0;26285502.69;C;3;03;57.037;3.761;0.030153;0.000603;1.0;3170.37
facility:0003840;facility;MATERNIDADE ALBERT SABIN;292740;-12.903188161296152;-38.405734151680846;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;7363.0;19.0;296.0;2.0;7363.0;4240879.63;O;3;99;25.095;3.249;0.00258;0.040201;1.0;575.97
facility:0003859;facility;HOSPITAL GERAL ROBERTO SANTOS;292740;-12.972226;-38.501426;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;18298.0;1232.0;771.0;5.0;18298.0;61490777.75;O;3;99;39.075;9.712;0.06733;0.042136;1.0;3360.52
facility:0003875;facility;HOSPITAL ANA NERY;292740;-12.9575324;-38.4931637;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;9296.0;281.0;178.0;5.0;9296.0;74180703.33;I;1;03;55.282;6.675;0.030228;0.019148;1.0;7979.85
facility:0003921;facility;CICAN;292740;-12.9830857;-38.5036816;;;False;excluded_non_public_hospital;;;;;;;;;;;;;;;;;;;;;;
facility:0003972;facility;CENTRO DE PARTO HUMANIZADO JOAO BATISTA CARIBE;292740;-12.4342747;-38.3308469;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;684.0;0.0;24.0;2.0;684.0;278340.48;O;3;99;25.592;2.474;0.0;0.035088;1.0;406.93
facility:0003980;facility;HOSPITAL ELADIO LASSERRE;292740;-12.889373521561977;-38.42262268066406;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;6765.0;349.0;466.0;3.5;6765.0;7215339.76;S;1;03;44.91;5.502;0.051589;0.068884;1.0;1066.57
facility:0004065;facility;HOSPITAL ESPECIALIZADO OCTAVIO MANGABEIRA;292740;-12.959216063439738;-38.48536491394043;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;2033.0;159.0;148.0;8.0;2033.0;3110374.15;A;1;99;54.564;13.322;0.07821;0.072799;1.0;1529.94
facility:0004073;facility;HOSPITAL GERAL ERNESTO SIMOES FILHO;292740;-12.95900695191243;-38.48616421222687;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;5836.0;861.0;180.0;3.5;5836.0;22307141.47;K;1;03;53.64;6.749;0.147533;0.030843;1.0;3822.33
facility:0004170;facility;MATERNIDADE TSYLLA BALBINO;292740;-12.962499091393244;-38.4916090965271;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;7438.0;20.0;148.0;3.0;7438.0;3994947.43;O;3;99;23.343;3.73;0.002689;0.019898;1.0;537.1
facility:0004251;facility;HOSPITAL PORTUGUES;292740;-13.0032128;-38.5312954;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;1413.0;69.0;12.0;1.5;1413.0;10495936.71;K;1;03;52.941;5.904;0.048832;0.008493;1.0;7428.12
facility:0004278;facility;HOSPITAL MARTAGAO GESTEIRA;292740;-12.9821042;-38.508557;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;8878.0;157.0;49.0;1.5;8878.0;22755072.4;K;1;03;6.256;4.702;0.017684;0.005519;1.0;2563.09
facility:0004286;facility;HOSPITAL JULIANO MOREIRA;292740;-12.952911273727892;-38.44918727874756;;;False;excluded_non_public_hospital;;;;;;;;;;;;;;;;;;;;;;
facility:0004294;facility;HOSPITAL GERAL DO ESTADO;292740;-12.9962977;-38.4945683;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;16517.0;496.0;163.0;4.5;16517.0;31501233.75;S;1;99;38.224;7.148;0.03003;0.009869;1.0;1907.2
facility:0004731;facility;MATERNIDADE CLIMERIO DE OLIVEIRA;292740;-12.9719354;-38.5023149;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;2455.0;19.0;44.0;3.0;2455.0;3042924.89;O;3;03;23.259;5.478;0.007739;0.017923;1.0;1239.48
facility:0004960;facility;HOSPITAL SANTA LUZIA;292740;-12.9731;-38.5034;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;1398.0;0.0;0.0;0.0;1398.0;2340344.44;H;3;99;60.815;0.011;0.0;0.0;1.0;1674.07
facility:0004979;facility;HOSPITAL DE BROTAS;292740;-12.9899166;-38.48881888424956;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;666.0;77.0;35.0;12.0;666.0;1036055.74;N;1;03;58.224;14.533;0.115616;0.052553;1.0;1555.64
facility:0004987;facility;HOSPITAL PROFESSOR CARVALHO LUZ;292740;-12.973279;-38.50265;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;1657.0;264.0;50.0;13.0;1657.0;1879569.4;M;1;99;56.783;15.157;0.159324;0.030175;1.0;1134.32
facility:0005134;facility;CNES 0005134 (Salvador - BA);292740;-12.873498787784706;-38.51472863408121;;;True;included;1;1;0;1;1;ibge_malha;synthetic_municipality;;;;;;;;;;;;;;;
facility:0005428;facility;INSTITUTO COUTO MAIA;292740;-12.8856327;-38.4246505;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;2518.0;495.0;180.0;7.5;2518.0;23676089.45;B;1;03;38.008;12.18;0.196585;0.071485;1.0;9402.74
facility:0005436;facility;HOSPITAL ESPECIALIZADO MARIO LEAL;292740;-12.971;-38.511;;;False;excluded_non_public_hospital;;;;;;;;;;;;;;;;;;;;;;
facility:0006157;facility;HOSPITAL HUMBERTO CASTRO LIMA;292740;-12.9946108;-38.5229048;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;2070.0;0.0;0.0;0.0;2070.0;3259925.27;H;3;99;56.809;0.015;0.0;0.0;1.0;1574.84
facility:0006564;facility;CENTRO ESPIRITA CAMINHO DA REDENCAO;292740;-12.916313159;-38.443801403;;;True;included;1;1;0;1;1;ibge_malha;synthetic_municipality;539.0;0.0;24.0;1.0;539.0;279567.0;O;3;03;27.167;1.488;0.0;0.044527;1.0;518.68
facility:0007641;facility;ABSJ;150240;-1.2967909719264816;-47.92234182357788;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;7312.0;110.0;18.0;2.0;7312.0;5097955.25;O;3;99;38.334;2.278;0.015044;0.002462;1.0;697.2
facility:0007684;facility;HOSPITAL MAGALHAES;150240;-1.2942596138525924;-47.92566776275635;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;7324.0;137.0;59.0;2.0;7324.0;5564648.02;O;3;03;26.153;3.003;0.018706;0.008056;1.0;759.78
facility:0008028;facility;HOSPITAL MUNICIPAL ANTONIO GIGLIO;353440;-23.53232235;-46.77712772881206;;;True;included;1;1;1;1;1;cnes_api;cnes_api;8577.0;1014.0;275.0;3.0;8577.0;14619132.19;S;1;99;43.648;5.955;0.118223;0.032062;1.0;1704.46
facility:0008036;facility;HOSPITAL MATERNIDADE AMADOR AGUIAR;353440;-23.5047325;-46.7881282;;;True;included;1;1;1;1;1;cnes_api;cnes_api;7543.0;34.0;50.0;3.0;7543.0;7875082.1;O;3;01;23.199;4.703;0.004507;0.006629;1.0;1044.03
facility:0008052;facility;HOSPITAL REGIONAL DR VIVALDO MARTINS SIMOES OSASCO;353440;-23.5249302;-46.771938984518826;;;True;included;1;1;1;1;1;cnes_api;cnes_api;5240.0;861.0;80.0;7.0;5240.0;17440848.93;B;1;01;47.583;10.688;0.164313;0.015267;1.0;3328.41
facility:0008087;facility;PRONTO SOCORRO CONRADO CESARINO NUVOLINI;353440;-23.554722982325107;-46.80203676223755;;;True;included;1;0;1;1;1;cnes_api;cnes_api;1313.0;210.0;531.0;2.0;1313.0;1060536.57;B;1;01;59.363;3.624;0.159939;0.404417;1.0;807.72
facility:0008141;facility;PRONTO SOCORRO DR ANTONIO FLAVIO FRANCA;353440;-23.51256385847313;-46.77590131759644;;;True;included;1;0;1;1;1;cnes_api;cnes_api;638.0;39.0;293.0;2.25;638.0;399884.31;I;1;01;61.016;3.213;0.061129;0.459248;1.0;626.78
facility:0008494;facility;UPA BANGU;354780;-23.6411957;-46.5274164;;;True;included;1;0;1;1;1;cnes_api;cnes_api;1233.0;192.0;302.0;4.0;1233.0;700190.64;I;1;99;63.852;5.453;0.155718;0.244931;1.0;567.88
facility:0008923;facility;CENTRO HOSPITALAR DE SANTO ANDRE DR NEWTON DA COSTA BRANDAO;354780;-23.6659455;-46.52757351456562;;;True;included;1;1;1;1;1;cnes_api;cnes_api;15252.0;2037.0;1145.0;4.0;15252.0;55183782.33;S;1;01;51.565;5.045;0.133556;0.075072;1.0;3618.13
facility:0009164;facility;CNES 0009164 (São José dos Campos - SP);354990;-23.09056285793361;-45.92853292396424;;;True;included;1;0;1;1;1;ibge_malha;synthetic_municipality;;;;;;;;;;;;;;;
facility:0009539;facility;CNES 0009539 (São José dos Campos - SP);354990;-23.09056285793361;-45.92853292396424;;;True;included;1;1;1;1;1;ibge_malha;synthetic_municipality;;;;;;;;;;;;;;;
facility:0009601;facility;HOSPITAL PIO XII;354990;-23.1631693;-45.900583347539566;;;True;included;1;1;1;1;1;cnes_api;cnes_api;4181.0;394.0;38.0;3.0;4181.0;15001159.14;C;1;01;63.181;4.624;0.094236;0.009089;1.0;3587.94
