source_node_id;target_node_id;edge_type;transfer_count;confidence_score;match_method;rule_version;assumption_revision;public_hospital_scope;source_latitude;source_longitude;source_municipality_code;target_latitude;target_longitude;target_municipality_code;distance_km;distance_band;same_municipality;source_uf;target_uf;same_uf_prefix;target_admissions;target_deaths;target_death_rate;target_mean_stay_days;target_regulated_transfer_exit_rate;target_icu_marker_rate;target_mean_value_per_admission;target_dominant_icd_chapter;self_transfer_edge
facility:2126559;facility:2764776;transfer;1;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-20.72198947083292;-42.2793710231781;312595;-20.80803;-42.0091597;311330;29.67878312108384;0-50;False;31;31;True;6329;383;0.060515;5.568;0.018802;1.0;2791.0;S;False
facility:2126796;facility:2206528;transfer;1;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-19.157208649197795;-45.4455041885376;310020;-19.465734;-44.239792;316720;131.09386966802884;100-200;False;31;31;True;8400;331;0.039405;4.035;0.010238;1.0;1515.22;O;False
facility:2127091;facility:2206528;transfer;1;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-19.2955592;-44.4142681;310990;-19.465734;-44.239792;316720;26.32509086193387;0-50;False;31;31;True;8400;331;0.039405;4.035;0.010238;1.0;1515.22;O;False
facility:2127911;facility:2127911;transfer;2;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-22.283179683527205;-46.36912822723389;314600;-22.283179683527205;-46.36912822723389;314600;0.0;0-50;True;31;31;True;2774;237;0.085436;2.798;0.072819;1.0;661.37;O;True
facility:2127911;facility:2208822;transfer;1;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-22.283179683527205;-46.36912822723389;314600;-22.24985862914274;-45.70402622222901;315960;68.54142322963932;50-100;False;31;31;True;2300;221;0.096087;2.943;0.058696;1.0;2078.3;O;False
facility:2127911;facility:2761106;transfer;1;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-22.283179683527205;-46.36912822723389;314600;-21.96280802514126;-44.88964319229126;310490;156.5070415368772;100-200;False;31;31;True;2309;165;0.07146;4.797;0.040277;1.0;2371.02;O;False
facility:2127911;facility:2764814;transfer;1;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-22.283179683527205;-46.36912822723389;314600;-22.1206271;-45.0457067;316370;137.4406050339286;100-200;False;31;31;True;5945;587;0.098738;4.975;0.183011;1.0;2767.19;B;False
facility:2128012;facility:2127687;transfer;1;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-22.3708;-46.0336;311060;-22.4217423;-45.4509507;313240;60.1680480005264;50-100;False;31;31;True;1515;176;0.116172;5.134;0.008581;1.0;3730.83;O;False
facility:2128012;facility:2129469;transfer;1;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-22.3708;-46.0336;311060;-21.78049513957958;-46.56722776088961;315180;85.62694165367826;50-100;False;31;31;True;7711;540;0.07003;4.409;0.007911;1.0;2587.96;O;False
facility:2128020;facility:2127911;transfer;1;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-22.43637793394872;-46.35107159614563;310910;-22.283179683527205;-46.36912822723389;314600;17.13579348920003;0-50;False;31;31;True;2774;237;0.085436;2.798;0.072819;1.0;661.37;O;False
facility:2128020;facility:2128020;transfer;1;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-22.43637793394872;-46.35107159614563;310910;-22.43637793394872;-46.35107159614563;310910;0.0;0-50;True;31;31;True;442;29;0.065611;4.448;0.115385;1.0;731.95;B;True
facility:2132877;facility:2142376;transfer;2;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-20.0212037;-45.5476292;313720;-20.46148409214913;-45.42479222413529;312610;50.6065321781203;50-100;False;31;31;True;3877;376;0.096982;5.015;0.041011;1.0;2998.67;B;False
facility:2134071;facility:2135132;transfer;1;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-19.03178399235759;-43.42634491870406;311750;-18.242496427207737;-43.60003709793091;312160;89.65262767171929;50-100;False;31;31;True;4683;593;0.126628;7.724;0.03438;1.0;3839.66;I;False
facility:2134268;facility:0026808;transfer;1;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-17.221396945856185;-42.58313655853272;314180;-19.9399314;-43.9128421;310620;333.1888027768433;200+;False;31;31;True;5991;249;0.041562;4.513;0.006844;1.0;3206.36;N;False
facility:2134268;facility:0026840;transfer;1;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-17.221396945856185;-42.58313655853272;314180;-19.90064015206941;-43.9334811014647;310620;330.16906794437773;200+;False;31;31;True;15779;802;0.050827;5.611;0.006654;1.0;2199.29;S;False
facility:2134268;facility:0027014;transfer;1;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-17.221396945856185;-42.58313655853272;314180;-19.92446018263489;-43.92570371893125;310620;332.20665468371845;200+;False;31;31;True;43038;3136;0.072866;7.106;0.001998;1.0;3815.59;C;False
facility:2134268;facility:2135108;transfer;2;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-17.221396945856185;-42.58313655853272;314180;-17.285158238038814;-42.7342414855957;316970;17.542630352549796;0-50;False;31;31;True;2230;116;0.052018;3.818;0.062332;1.0;1156.23;O;False
facility:2134268;facility:2135132;transfer;6;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-17.221396945856185;-42.58313655853272;314180;-18.242496427207737;-43.60003709793091;312160;156.4959621224783;100-200;False;31;31;True;4683;593;0.126628;7.724;0.03438;1.0;3839.66;I;False
facility:2134268;facility:2761203;transfer;2;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-17.221396945856185;-42.58313655853272;314180;-18.238848509928737;-43.59838485717773;312160;156.08207840825037;100-200;False;31;31;True;3506;33;0.009412;3.732;0.022818;1.0;1122.2;O;False
facility:2134276;facility:2134276;transfer;1;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-17.157128683145103;-42.08308319462645;310340;-17.157128683145103;-42.08308319462645;310340;0.0;0-50;True;31;31;True;3333;242;0.072607;4.979;0.079208;1.0;1013.78;O;True
facility:2134276;facility:2135132;transfer;12;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-17.157128683145103;-42.08308319462645;310340;-18.242496427207737;-43.60003709793091;312160;200.96413851779403;200+;False;31;31;True;4683;593;0.126628;7.724;0.03438;1.0;3839.66;I;False
facility:2134276;facility:2208172;transfer;1;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-17.157128683145103;-42.08308319462645;310340;-17.861901366627862;-41.50694302273596;316860;99.36822689178358;50-100;False;31;31;True;9145;488;0.053362;5.109;0.011154;1.0;2737.16;O;False
facility:2134276;facility:2761203;transfer;3;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-17.157128683145103;-42.08308319462645;310340;-18.238848509928737;-43.59838485717773;312160;200.5820377052674;200+;False;31;31;True;3506;33;0.009412;3.732;0.022818;1.0;1122.2;O;False
facility:2134276;facility:4034236;transfer;1;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-17.157128683145103;-42.08308319462645;310340;-19.9250977;-43.9507373;310620;365.3607040663247;200+;False;31;31;True;11352;359;0.031624;5.449;0.02352;1.0;2280.04;I;False
facility:2134292;facility:0027014;transfer;1;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-16.9511031;-42.4604453;310650;-19.92446018263489;-43.92570371893125;310620;364.9585126981289;200+;False;31;31;True;43038;3136;0.072866;7.106;0.001998;1.0;3815.59;C;False
facility:2134306;facility:2135132;transfer;1;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-16.804;-42.343;317160;-18.242496427207737;-43.60003709793091;312160;208.2069679060416;200+;False;31;31;True;4683;593;0.126628;7.724;0.03438;1.0;3839.66;I;False
facility:2135108;facility:0026840;transfer;1;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-17.285158238038814;-42.7342414855957;316970;-19.90064015206941;-43.9334811014647;310620;317.0992596214512;200+;False;31;31;True;15779;802;0.050827;5.611;0.006654;1.0;2199.29;S;False
facility:2135108;facility:2135132;transfer;3;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-17.285158238038814;-42.7342414855957;316970;-18.242496427207737;-43.60003709793091;312160;140.4892427124203;100-200;False;31;31;True;4683;593;0.126628;7.724;0.03438;1.0;3839.66;I;False
facility:2135108;facility:2222043;transfer;1;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-17.285158238038814;-42.7342414855957;316970;-18.86860540593188;-41.95472717285156;312770;194.39736041914904;100-200;False;31;31;True;18060;1517;0.083998;5.001;0.080399;1.0;2857.1;O;False
facility:2135108;facility:2695324;transfer;5;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-17.285158238038814;-42.7342414855957;316970;-19.926893;-43.897992;310620;318.31555426029047;200+;False;31;31;True;11710;453;0.038685;2.602;0.003501;1.0;1806.53;S;False
facility:2135108;facility:4034236;transfer;1;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-17.285158238038814;-42.7342414855957;316970;-19.9250977;-43.9507373;310620;320.31495471404565;200+;False;31;31;True;11352;359;0.031624;5.449;0.02352;1.0;2280.04;I;False
facility:2135124;facility:0026840;transfer;2;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-18.234066199963827;-42.26554434085945;311230;-19.90064015206941;-43.9334811014647;310620;255.07894839502987;200+;False;31;31;True;15779;802;0.050827;5.611;0.006654;1.0;2199.29;S;False
facility:2135124;facility:2135108;transfer;1;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-18.234066199963827;-42.26554434085945;311230;-17.285158238038814;-42.7342414855957;316970;116.60428465392383;100-200;False;31;31;True;2230;116;0.052018;3.818;0.062332;1.0;1156.23;O;False
facility:2135124;facility:2135132;transfer;6;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-18.234066199963827;-42.26554434085945;311230;-18.242496427207737;-43.60003709793091;312160;140.93723815428223;100-200;False;31;31;True;4683;593;0.126628;7.724;0.03438;1.0;3839.66;I;False
facility:2135124;facility:2208172;transfer;1;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-18.234066199963827;-42.26554434085945;311230;-17.861901366627862;-41.50694302273596;316860;90.24923235323824;50-100;False;31;31;True;9145;488;0.053362;5.109;0.011154;1.0;2737.16;O;False
facility:2135124;facility:2211254;transfer;1;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-18.234066199963827;-42.26554434085945;311230;-17.86953202748806;-41.51303636793899;316860;89.28731855589088;50-100;False;31;31;True;3722;68;0.01827;4.376;0.043525;1.0;1040.68;S;False
facility:2135124;facility:2695324;transfer;2;1.0;4pillars_strict;v1_4pillars_strict_2026_04_08;2026-04-08;True;-18.234066199963827;-42.26554434085945;311230;-19.926893;-43.897992;310620;254.67128523655018;200+;False;31;31;True;11710;453;0.038685;2.602;0.003501;1.0;1806.53;S;False
