facility_node_id;admissions;deaths;regulated_transfer_exits;median_stay_days;icu_marker_count;total_value;dominant_icd_chapter;dominant_sex;dominant_race_color;mean_age;mean_stay_days;death_rate;regulated_transfer_exit_rate;icu_marker_rate;mean_value_per_admission
facility:2006197;6537;359;130;3.0;6537;9949160.36;O;3;03;36.93;6.143;0.054918;0.019887;1.0;1521.98
facility:2006286;3116;3;34;4.0;3116;2511846.29;J;3;03;3.868;4.495;0.000963;0.010911;1.0;806.11
facility:2006340;6712;2;39;2.0;6712;4808105.21;O;3;03;23.72;2.269;0.000298;0.00581;1.0;716.34
facility:2006359;3589;147;83;3.0;3589;1792193.72;N;1;03;50.321;4.412;0.040958;0.023126;1.0;499.36
facility:2006421;1295;4;5;1.0;1295;1168737.04;D;3;99;46.082;1.234;0.003089;0.003861;1.0;902.5
facility:2006448;5436;147;50;2.0;5436;7192825.93;O;3;99;33.599;4.32;0.027042;0.009198;1.0;1323.18
facility:2006510;17767;2265;7086;3.0;17767;16427476.48;I;1;99;50.323;4.756;0.127484;0.398829;1.0;924.61
facility:2006944;136;0;0;0.0;136;435387.52;H;1;99;55.669;0.0;0.0;0.0;1.0;3201.38
facility:2006960;1161;101;27;3.0;1161;2387895.63;N;1;99;53.161;5.151;0.086994;0.023256;1.0;2056.76
facility:2006979;325;0;0;0.0;325;1008731.37;H;1;03;59.028;0.0;0.0;0.0;1.0;3103.79
facility:2007037;8646;557;364;2.0;8646;40784957.87;C;3;03;50.744;4.704;0.064423;0.0421;1.0;4717.21
facility:2007401;63;3;9;3.0;63;30417.86;A;3;03;54.333;3.397;0.047619;0.142857;1.0;482.82
facility:2008106;182;0;0;1.0;182;92379.2;O;3;99;24.011;1.0;0.0;0.0;1.0;507.58
facility:2008858;275;0;0;1.0;275;115526.61;O;3;99;27.32;1.553;0.0;0.0;1.0;420.1
facility:2009161;223;3;6;1.0;223;88038.16;O;3;99;31.978;2.283;0.013453;0.026906;1.0;394.79
facility:2009242;175;1;9;1.0;175;71151.49;O;3;99;34.617;3.177;0.005714;0.051429;1.0;406.58
facility:2009250;3646;103;46;5.0;3646;7314016.86;O;3;99;19.787;9.214;0.02825;0.012617;1.0;2006.04
facility:2009528;66;0;0;1.0;66;29792.4;O;3;03;25.409;0.97;0.0;0.0;1.0;451.4
facility:2010151;6729;241;29;2.0;6729;9246872.13;O;3;03;36.663;3.523;0.035815;0.00431;1.0;1374.18
facility:2010356;6554;236;23;3.0;6554;11987977.79;S;3;99;42.869;5.258;0.036009;0.003509;1.0;1829.11
facility:2010380;98;0;0;1.0;98;43453.2;O;3;03;24.48;0.959;0.0;0.0;1.0;443.4
facility:2010631;4863;160;82;2.0;4863;7161523.57;O;3;03;34.426;3.148;0.032902;0.016862;1.0;1472.66
facility:2010887;34;0;6;2.5;34;12976.54;E;3;99;49.412;3.147;0.0;0.176471;1.0;381.66
facility:2011166;1538;28;83;1.25;1538;998084.63;O;3;03;40.101;2.804;0.018205;0.053966;1.0;648.95
facility:2011689;835;0;5;1.0;835;355099.85;O;3;03;35.34;1.905;0.0;0.005988;1.0;425.27
facility:2011859;654;16;132;2.0;654;316008.12;O;3;03;33.303;2.483;0.024465;0.201835;1.0;483.19
facility:2011875;1110;0;1;2.0;1110;471770.01;O;3;99;29.454;1.867;0.0;0.000901;1.0;425.02
facility:2011891;750;3;15;3.0;750;453941.35;O;3;03;31.276;3.956;0.004;0.02;1.0;605.26
facility:2011905;1577;7;7;2.0;1577;988689.94;O;3;03;31.825;2.912;0.004439;0.004439;1.0;626.94
facility:2012022;1342;40;72;2.0;1342;600422.76;O;3;03;33.305;3.303;0.029806;0.053651;1.0;447.41
facility:2012030;3536;74;682;3.0;3536;2516710.15;J;1;03;6.167;4.444;0.020928;0.192873;1.0;711.74
facility:2012162;215;0;0;0.0;215;132279.47;H;3;03;51.54;0.0;0.0;0.0;1.0;615.25
facility:2012383;2027;21;154;2.0;2027;1144278.03;O;3;03;31.56;2.657;0.01036;0.075974;1.0;564.52
facility:2012472;4573;43;745;2.0;4573;4610866.46;J;1;99;5.988;4.494;0.009403;0.162913;1.0;1008.28
facility:2012480;4306;9;6;3.0;4306;3422605.67;O;3;03;24.392;4.625;0.00209;0.001393;1.0;794.85
facility:2012499;1595;17;125;2.0;1595;757200.1;O;3;03;31.511;2.967;0.010658;0.07837;1.0;474.73
facility:2012553;1009;18;82;2.0;1009;535758.63;O;3;03;32.884;2.766;0.017839;0.081269;1.0;530.98
facility:2012618;2083;18;23;2.0;2083;1113306.36;O;3;03;32.236;3.013;0.008641;0.011042;1.0;534.47
facility:2012677;2868;416;9;3.0;2868;6562171.8;C;3;03;51.446;7.028;0.145049;0.003138;1.0;2288.07
